,n,CV_mode,Model,R2_val,R2_test,Parameters,object
20,20,loo,HistGradientBoostingRegressor,0.7772554646704118,0.7749851859705575,"{'learning_rate': 0.33783161960884844, 'max_depth': 2, 'min_samples_leaf': 3, 'max_leaf_nodes': 24, 'max_features': 0.1250285354809913, 'l2_regularization': 0.01997880902277403}",
21,21,loo,HistGradientBoostingRegressor,0.7827984022402072,0.7860820290528192,"{'learning_rate': 0.3510654547345811, 'max_depth': 2, 'min_samples_leaf': 5, 'max_leaf_nodes': 28, 'max_features': 0.2593009723116296, 'l2_regularization': 0.10681132345723363}",
22,22,loo,HistGradientBoostingRegressor,0.7446223231894895,0.817187849061701,"{'learning_rate': 0.16279955542035815, 'max_depth': 2, 'min_samples_leaf': 7, 'max_leaf_nodes': 56, 'max_features': 0.3053533237950346, 'l2_regularization': 0.21842965703617573}",
23,23,loo,HistGradientBoostingRegressor,0.772610111648562,0.8345685370562897,"{'learning_rate': 0.1356062898588856, 'max_depth': 4, 'min_samples_leaf': 3, 'max_leaf_nodes': 21, 'max_features': 0.28644896119344265, 'l2_regularization': 0.29301644544934746}",
24,24,loo,HistGradientBoostingRegressor,0.7172734688241104,0.8254704010926001,"{'learning_rate': 0.09735050258815295, 'max_depth': 5, 'min_samples_leaf': 1, 'max_leaf_nodes': 16, 'max_features': 0.3374294134913731, 'l2_regularization': 0.37991916497327594}",
25,25,loo,HistGradientBoostingRegressor,0.8056349719058619,0.8354119799258243,"{'learning_rate': 0.3227143752110362, 'max_depth': 1, 'min_samples_leaf': 5, 'max_leaf_nodes': 28, 'max_features': 0.15114692147914416, 'l2_regularization': 0.40815974059662774}",
26,26,loo,HistGradientBoostingRegressor,0.7742634232462857,0.8304722377419499,"{'learning_rate': 0.28013619203053935, 'max_depth': 1, 'min_samples_leaf': 6, 'max_leaf_nodes': 25, 'max_features': 0.200606595858153, 'l2_regularization': 0.7142810745061249}",
27,27,loo,HistGradientBoostingRegressor,0.6992257977279351,0.7881155154874923,"{'learning_rate': 0.049115380199153603, 'max_depth': 1, 'min_samples_leaf': 2, 'max_leaf_nodes': 41, 'max_features': 0.11686256703069788, 'l2_regularization': 0.4786458929305846}",
28,28,loo,HistGradientBoostingRegressor,0.779279165626782,0.8324731030625245,"{'learning_rate': 0.2255461144940197, 'max_depth': 1, 'min_samples_leaf': 9, 'max_leaf_nodes': 22, 'max_features': 0.23809973721900035, 'l2_regularization': 0.05470218567513535}",
29,29,loo,HistGradientBoostingRegressor,0.7733138576952127,0.8303085650221151,"{'learning_rate': 0.06733098478566633, 'max_depth': 3, 'min_samples_leaf': 11, 'max_leaf_nodes': 12, 'max_features': 0.31906587615679266, 'l2_regularization': 0.010879912271512387}",
30,30,loo,HistGradientBoostingRegressor,0.7268447700991405,0.8000829363973608,"{'learning_rate': 0.4221221464589921, 'max_depth': 2, 'min_samples_leaf': 6, 'max_leaf_nodes': 22, 'max_features': 0.2794489751692522, 'l2_regularization': 0.17238530630033452}",
31,31,loo,HistGradientBoostingRegressor,0.7154701320342894,0.761261776713123,"{'learning_rate': 0.4330750658894166, 'max_depth': 2, 'min_samples_leaf': 14, 'max_leaf_nodes': 24, 'max_features': 0.14641788679849801, 'l2_regularization': 0.2451397290327656}",
32,32,loo,HistGradientBoostingRegressor,0.7555900382466374,0.8300393915505908,"{'learning_rate': 0.44811231309246374, 'max_depth': 1, 'min_samples_leaf': 9, 'max_leaf_nodes': 32, 'max_features': 0.1429828428961725, 'l2_regularization': 0.00781562509527313}",
