iter	RMSE
0	1.36602795
1	1.33555903
2	1.258437107
3	1.241847749
4	1.21023021
5	1.177918856
6	1.151105681
7	1.095581685
8	1.074496185
9	1.050192271
10	1.025254367
11	1.006069859
12	0.9747420124
13	0.9517554846
14	0.9295576652
15	0.9022863917
16	0.8852316841
17	0.8652055385
18	0.8387045081
19	0.8188473798
20	0.7786759651
21	0.7609710444
22	0.7394850887
23	0.7212160675
24	0.6978808603
25	0.6627503785
26	0.6455131789
27	0.6279867068
28	0.6108489527
29	0.5919837184
30	0.5705736251
31	0.5563259525
32	0.5432534179
33	0.5347641839
34	0.5280514127
35	0.5200807579
36	0.5058895893
37	0.4985855876
38	0.485520509
39	0.4747694518
40	0.463966337
41	0.4547268259
42	0.4426887811
43	0.4363869882
44	0.427976245
45	0.4220047337
46	0.413023859
47	0.4044851832
48	0.3963644774
49	0.3885304907
50	0.3812076799
51	0.3744348724
52	0.3677355168
53	0.3618321995
54	0.3554822163
55	0.3495763013
56	0.3446551108
57	0.3400177318
58	0.3381013918
59	0.3350593132
60	0.3288856742
61	0.3236480906
62	0.3186059386
63	0.3131081396
64	0.3084540082
65	0.3053553511
66	0.3024056531
67	0.2970554534
68	0.2925099868
69	0.2881347273
70	0.2834586867
71	0.2795518223
72	0.2769805034
73	0.274550846
74	0.2698732205
75	0.2659036234
76	0.2636181511
77	0.2575074989
78	0.253581389
79	0.2515747879
80	0.2470469043
81	0.2430462049
82	0.2387999166
83	0.2355350979
84	0.2318592059
85	0.2283231471
86	0.2242562109
87	0.2214754506
88	0.2182088755
89	0.2141388851
90	0.2116028002
91	0.2085764554
92	0.2060203361
93	0.2031495208
94	0.1995337822
95	0.1981326874
96	0.1955871063
97	0.1931502427
98	0.1909583576
99	0.1889912487
100	0.1881058296
101	0.1872474422
102	0.1858482797
103	0.1820631621
104	0.1814951307
105	0.1809437118
106	0.1771838013
107	0.1764941899
108	0.1760256873
109	0.1752994121
110	0.1747677917
111	0.17409424
112	0.173440876
113	0.1723093563
114	0.1713929769
115	0.1705107919
116	0.1696611717
117	0.1677940802
118	0.166671248
119	0.1655939665
120	0.1645985031
121	0.162827942
122	0.1611328829
123	0.1597497311
124	0.1588862628
125	0.1579039216
126	0.1572492402
127	0.1549713923
128	0.1543478333
129	0.1537413866
130	0.1514395006
131	0.1512289823
132	0.1510247402
133	0.1505470477
134	0.1497841566
135	0.1472164339
136	0.1463141936
137	0.1449988846
138	0.1419549475
139	0.1405097501
140	0.1381671668
141	0.1379740923
142	0.1359720346
143	0.1340562872
144	0.1320457994
145	0.131272414
146	0.1305235003
147	0.1294853242
148	0.1281195667
149	0.1262926389
150	0.123789843
151	0.1236329527
152	0.1234807591
153	0.1217718731
154	0.1209722203
155	0.1202100946
156	0.1194450262
157	0.1173617013
158	0.1158509795
159	0.1150913047
160	0.114414093
161	0.1137563663
162	0.1122456713
163	0.110355321
164	0.1097339756
165	0.108461377
166	0.107867499
167	0.1071659378
168	0.1064861138
169	0.1059226409
170	0.1051848978
171	0.1051195931
172	0.1039442358
173	0.102929627
174	0.1018014363
175	0.1007136821
176	0.09955646848
177	0.09930471673
178	0.09906111914
179	0.09836072203
180	0.09825229328
181	0.09721377249
182	0.09710662208
183	0.09700255722
184	0.09633022429
185	0.09549508641
186	0.09411416915
187	0.09301987217
188	0.09171791008
189	0.09070561849
190	0.08973826914
191	0.08825669039
192	0.08785024611
193	0.08643404663
194	0.085704291
195	0.08531383258
196	0.08391855651
197	0.08362311645
198	0.08324710294
199	0.0819257827
200	0.08135144175
201	0.08079463625
202	0.08051403313
203	0.07997438485
204	0.07971611886
205	0.07959001221
206	0.07925619986
207	0.0791130831
208	0.07892248
209	0.07873524805
210	0.07836305068
211	0.07716121964
212	0.07654209807
213	0.07558458064
214	0.07539898858
215	0.07449060624
216	0.07437831926
217	0.07426956793
218	0.07340602876
219	0.07332881165
220	0.0732540364
221	0.07318331584
222	0.07311482144
223	0.07304847477
224	0.07205282571
225	0.0719997469
226	0.0719482854
227	0.07189839237
228	0.07185002062
229	0.07180312442
230	0.07084792374
231	0.07048561587
232	0.07000014057
233	0.06944733549
234	0.06898018831
235	0.0685964441
236	0.06789980244
237	0.06714215608
238	0.0666851877
239	0.06580821123
240	0.06489805016
241	0.06414832816
242	0.06371913966
243	0.06302445639
244	0.06261398792
245	0.06159943052
246	0.06078059282
247	0.06040151801
248	0.05976475002
249	0.05938345154
250	0.05881266993
251	0.05826332593
252	0.05724985416
253	0.05689343922
254	0.0563773925
255	0.05609475638
256	0.0553308628
257	0.05512143429
258	0.05439039078
259	0.05412218255
260	0.05362900846
261	0.0532708376
262	0.05292271505
263	0.0525842946
264	0.05224684561
265	0.05191891573
266	0.05160016113
267	0.05118211908
268	0.05087810397
269	0.05058249591
270	0.05018796751
271	0.04969717758
272	0.04941815847
273	0.04875124148
274	0.04816307501
275	0.04779667609
276	0.047515276
277	0.04695876901
278	0.04669101736
279	0.0462301224
280	0.04572043397
281	0.04521561587
282	0.04486434907
283	0.04437214566
284	0.04389777983
285	0.04363697561
286	0.04316703548
287	0.04275967749
288	0.04237006595
289	0.04207058906
290	0.04164214846
291	0.04123071938
292	0.04099565958
293	0.04076705242
294	0.04038117574
295	0.03979139079
296	0.03950026954
297	0.03922069767
298	0.03897617596
299	0.03843531944
300	0.03778140017
301	0.03722575549
302	0.03663248501
303	0.03613384607
